Latitude,Longitude,Start Datetime,End Datetime
34.65,-114.95,01/01/2006 00:00,12/31/2006 23:00
35.05,-118.15,01/01/2006 00:00,12/31/2006 23:00
34.75,-116.25,01/01/2006 00:00,12/31/2006 23:00
37.95,-121.35,01/01/2006 00:00,12/31/2006 23:00
37.35,-121.95,01/01/2006 00:00,12/31/2006 23:00
33.65,-115.55,01/01/2006 00:00,12/31/2006 23:00
34.25,-118.95,01/01/2006 00:00,12/31/2006 23:00
37.15,-122.15,01/01/2006 00:00,12/31/2006 23:00
33.95,-118.05,01/01/2006 00:00,12/31/2006 23:00
33.95,-116.65,01/01/2006 00:00,12/31/2006 23:00
33.85,-116.55,01/01/2006 00:00,12/31/2006 23:00
33.85,-118.35,01/01/2006 00:00,12/31/2006 23:00
33.55,-117.15,01/01/2006 00:00,12/31/2006 23:00
34.25,-118.35,01/01/2006 00:00,12/31/2006 23:00
37.85,-122.05,01/01/2006 00:00,12/31/2006 23:00
34.05,-118.45,01/01/2006 00:00,12/31/2006 23:00
34.15,-117.45,01/01/2006 00:00,12/31/2006 23:00
34.25,-119.05,01/01/2006 00:00,12/31/2006 23:00
32.75,-117.25,01/01/2006 00:00,12/31/2006 23:00
34.15,-118.65,01/01/2006 00:00,12/31/2006 23:00
35.35,-119.15,01/01/2006 00:00,12/31/2006 23:00
33.05,-116.95,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.75,01/01/2006 00:00,12/31/2006 23:00
33.35,-114.95,01/01/2006 00:00,12/31/2006 23:00
35.05,-117.65,01/01/2006 00:00,12/31/2006 23:00
34.05,-117.35,01/01/2006 00:00,12/31/2006 23:00
32.55,-117.05,01/01/2006 00:00,12/31/2006 23:00
34.15,-119.15,01/01/2006 00:00,12/31/2006 23:00
33.45,-117.65,01/01/2006 00:00,12/31/2006 23:00
37.55,-122.05,01/01/2006 00:00,12/31/2006 23:00
33.85,-117.45,01/01/2006 00:00,12/31/2006 23:00
37.15,-122.25,01/01/2006 00:00,12/31/2006 23:00
34.65,-115.15,01/01/2006 00:00,12/31/2006 23:00
37.25,-121.85,01/01/2006 00:00,12/31/2006 23:00
32.85,-117.15,01/01/2006 00:00,12/31/2006 23:00
32.95,-117.25,01/01/2006 00:00,12/31/2006 23:00
32.85,-116.95,01/01/2006 00:00,12/31/2006 23:00
34.55,-115.85,01/01/2006 00:00,12/31/2006 23:00
36.45,-119.25,01/01/2006 00:00,12/31/2006 23:00
36.15,-120.15,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.35,01/01/2006 00:00,12/31/2006 23:00
33.75,-117.75,01/01/2006 00:00,12/31/2006 23:00
37.65,-122.15,01/01/2006 00:00,12/31/2006 23:00
34.05,-118.55,01/01/2006 00:00,12/31/2006 23:00
37.75,-122.25,01/01/2006 00:00,12/31/2006 23:00
33.05,-117.25,01/01/2006 00:00,12/31/2006 23:00
33.05,-116.75,01/01/2006 00:00,12/31/2006 23:00
35.15,-120.65,01/01/2006 00:00,12/31/2006 23:00
34.05,-117.75,01/01/2006 00:00,12/31/2006 23:00
33.55,-114.55,01/01/2006 00:00,12/31/2006 23:00
34.65,-118.05,01/01/2006 00:00,12/31/2006 23:00
37.75,-121.45,01/01/2006 00:00,12/31/2006 23:00
37.15,-121.65,01/01/2006 00:00,12/31/2006 23:00
34.55,-117.65,01/01/2006 00:00,12/31/2006 23:00
34.05,-116.85,01/01/2006 00:00,12/31/2006 23:00
33.65,-117.85,01/01/2006 00:00,12/31/2006 23:00
33.05,-117.05,01/01/2006 00:00,12/31/2006 23:00
34.45,-117.55,01/01/2006 00:00,12/31/2006 23:00
34.65,-117.35,01/01/2006 00:00,12/31/2006 23:00
33.85,-116.95,01/01/2006 00:00,12/31/2006 23:00
38.65,-121.45,01/01/2006 00:00,12/31/2006 23:00
34.25,-118.25,01/01/2006 00:00,12/31/2006 23:00
33.05,-116.25,01/01/2006 00:00,12/31/2006 23:00
37.75,-122.05,01/01/2006 00:00,12/31/2006 23:00
37.15,-121.55,01/01/2006 00:00,12/31/2006 23:00
34.15,-117.85,01/01/2006 00:00,12/31/2006 23:00
33.65,-116.15,01/01/2006 00:00,12/31/2006 23:00
33.75,-116.25,01/01/2006 00:00,12/31/2006 23:00
34.5,-118.15,01/01/2006 00:00,12/31/2006 23:00
37.35,-120.55,01/01/2006 00:00,12/31/2006 23:00
34.05,-118.05,01/01/2006 00:00,12/31/2006 23:00
35.45,-120.65,01/01/2006 00:00,12/31/2006 23:00
34.85,-119.55,01/01/2006 00:00,12/31/2006 23:00
34.65,-117.75,01/01/2006 00:00,12/31/2006 23:00
41.95,-122.95,01/01/2006 00:00,12/31/2006 23:00
33.25,-116.95,01/01/2006 00:00,12/31/2006 23:00
33.05,-115.85,01/01/2006 00:00,12/31/2006 23:00
33.55,-116.05,01/01/2006 00:00,12/31/2006 23:00
33.75,-118.05,01/01/2006 00:00,12/31/2006 23:00
38.05,-121.85,01/01/2006 00:00,12/31/2006 23:00
34.85,-116.25,01/01/2006 00:00,12/31/2006 23:00
34.15,-117.25,01/01/2006 00:00,12/31/2006 23:00
39.75,-120.05,01/01/2006 00:00,12/31/2006 23:00
34.05,-117.15,01/01/2006 00:00,12/31/2006 23:00
35.15,-117.75,01/01/2006 00:00,12/31/2006 23:00
34.95,-118.15,01/01/2006 00:00,12/31/2006 23:00
34.65,-117.95,01/01/2006 00:00,12/31/2006 23:00
32.65,-117.05,01/01/2006 00:00,12/31/2006 23:00
34.85,-118.25,01/01/2006 00:00,12/31/2006 23:00
33.35,-115.05,01/01/2006 00:00,12/31/2006 23:00
40.55,-122.35,01/01/2006 00:00,12/31/2006 23:00
33.75,-117.15,01/01/2006 00:00,12/31/2006 23:00
33.65,-117.25,01/01/2006 00:00,12/31/2006 23:00
37.65,-122.35,01/01/2006 00:00,12/31/2006 23:00
34.05,-117.55,01/01/2006 00:00,12/31/2006 23:00
34.55,-117.85,01/01/2006 00:00,12/31/2006 23:00
34.25,-119.25,01/01/2006 00:00,12/31/2006 23:00
34.25,-114.55,01/01/2006 00:00,12/31/2006 23:00
34.25,-118.75,01/01/2006 00:00,12/31/2006 23:00
36.05,-119.05,01/01/2006 00:00,12/31/2006 23:00
33.45,-114.85,01/01/2006 00:00,12/31/2006 23:00
37.55,-122.25,01/01/2006 00:00,12/31/2006 23:00
37.45,-122.15,01/01/2006 00:00,12/31/2006 23:00
32.65,-115.15,01/01/2006 00:00,12/31/2006 23:00
37.75,-121.95,01/01/2006 00:00,12/31/2006 23:00
34.35,-118.65,01/01/2006 00:00,12/31/2006 23:00
34.65,-120.45,01/01/2006 00:00,12/31/2006 23:00
37.95,-122.05,01/01/2006 00:00,12/31/2006 23:00
34.95,-118.35,01/01/2006 00:00,12/31/2006 23:00
39.95,-122.95,01/01/2006 00:00,12/31/2006 23:00
32.65,-117.15,01/01/2006 00:00,12/31/2006 23:00
36.95,-122.05,01/01/2006 00:00,12/31/2006 23:00
35.35,-117.95,01/01/2006 00:00,12/31/2006 23:00
37.05,-122.15,01/01/2006 00:00,12/31/2006 23:00
33.95,-118.25,01/01/2006 00:00,12/31/2006 23:00
33.95,-116.45,01/01/2006 00:00,12/31/2006 23:00
34.45,-117.75,01/01/2006 00:00,12/31/2006 23:00
33.85,-118.15,01/01/2006 00:00,12/31/2006 23:00
34.05,-118.25,01/01/2006 00:00,12/31/2006 23:00
33.15,-117.05,01/01/2006 00:00,12/31/2006 23:00
34.25,-117.25,01/01/2006 00:00,12/31/2006 23:00
35.15,-118.05,01/01/2006 00:00,12/31/2006 23:00
33.75,-115.45,01/01/2006 00:00,12/31/2006 23:00
35.45,-120.35,01/01/2006 00:00,12/31/2006 23:00
34.25,-118.55,01/01/2006 00:00,12/31/2006 23:00
37.75,-122.45,01/01/2006 00:00,12/31/2006 23:00
34.15,-117.05,01/01/2006 00:00,12/31/2006 23:00
32.65,-116.95,01/01/2006 00:00,12/31/2006 23:00
35.05,-117.85,01/01/2006 00:00,12/31/2006 23:00
37.35,-122.05,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.95,01/01/2006 00:00,12/31/2006 23:00
36.75,-119.05,01/01/2006 00:00,12/31/2006 23:00
34.85,-116.45,01/01/2006 00:00,12/31/2006 23:00
38.55,-121.55,01/01/2006 00:00,12/31/2006 23:00
38.65,-121.05,01/01/2006 00:00,12/31/2006 23:00
35.05,-119.75,01/01/2006 00:00,12/31/2006 23:00
33.75,-117.45,01/01/2006 00:00,12/31/2006 23:00
37.95,-121.45,01/01/2006 00:00,12/31/2006 23:00
37.65,-121.75,01/01/2006 00:00,12/31/2006 23:00
33.45,-114.95,01/01/2006 00:00,12/31/2006 23:00
33.55,-117.25,01/01/2006 00:00,12/31/2006 23:00
37.55,-122.35,01/01/2006 00:00,12/31/2006 23:00
32.65,-117.25,01/01/2006 00:00,12/31/2006 23:00
33.05,-116.85,01/01/2006 00:00,12/31/2006 23:00
33.75,-116.65,01/01/2006 00:00,12/31/2006 23:00
32.75,-117.15,01/01/2006 00:00,12/31/2006 23:00
34.05,-117.45,01/01/2006 00:00,12/31/2006 23:00
33.75,-117.05,01/01/2006 00:00,12/31/2006 23:00
33.65,-117.35,01/01/2006 00:00,12/31/2006 23:00
37.65,-122.25,01/01/2006 00:00,12/31/2006 23:00
33.85,-117.75,01/01/2006 00:00,12/31/2006 23:00
34.15,-118.55,01/01/2006 00:00,12/31/2006 23:00
38.05,-122.15,01/01/2006 00:00,12/31/2006 23:00
37.65,-121.05,01/01/2006 00:00,12/31/2006 23:00
35.15,-114.85,01/01/2006 00:00,12/31/2006 23:00
37.65,-121.85,01/01/2006 00:00,12/31/2006 23:00
32.75,-115.95,01/01/2006 00:00,12/31/2006 23:00
34.15,-117.35,01/01/2006 00:00,12/31/2006 23:00
37.85,-122.15,01/01/2006 00:00,12/31/2006 23:00
34.05,-117.05,01/01/2006 00:00,12/31/2006 23:00
33.85,-117.75,01/01/2006 00:00,12/31/2006 23:00
34.75,-120.55,01/01/2006 00:00,12/31/2006 23:00
35.15,-117.65,01/01/2006 00:00,12/31/2006 23:00
34.15,-118.75,01/01/2006 00:00,12/31/2006 23:00
38.75,-121.25,01/01/2006 00:00,12/31/2006 23:00
34.85,-116.75,01/01/2006 00:00,12/31/2006 23:00
35.25,-118.05,01/01/2006 00:00,12/31/2006 23:00
39.75,-121.85,01/01/2006 00:00,12/31/2006 23:00
33.75,-116.95,01/01/2006 00:00,12/31/2006 23:00
38.65,-121.15,01/01/2006 00:00,12/31/2006 23:00
32.65,-116.15,01/01/2006 00:00,12/31/2006 23:00
34.35,-118.35,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.85,01/01/2006 00:00,12/31/2006 23:00
39.35,-121.45,01/01/2006 00:00,12/31/2006 23:00
35.05,-117.95,01/01/2006 00:00,12/31/2006 23:00
33.85,-116.25,01/01/2006 00:00,12/31/2006 23:00
32.95,-115.15,01/01/2006 00:00,12/31/2006 23:00
34.85,-116.85,01/01/2006 00:00,12/31/2006 23:00
32.95,-117.05,01/01/2006 00:00,12/31/2006 23:00
34.05,-116.95,01/01/2006 00:00,12/31/2006 23:00
33.25,-117.05,01/01/2006 00:00,12/31/2006 23:00
37.25,-121.95,01/01/2006 00:00,12/31/2006 23:00
35.05,-118.25,01/01/2006 00:00,12/31/2006 23:00
35.15,-118.15,01/01/2006 00:00,12/31/2006 23:00
38.45,-121.35,01/01/2006 00:00,12/31/2006 23:00
33.95,-118.35,01/01/2006 00:00,12/31/2006 23:00
33.95,-116.55,01/01/2006 00:00,12/31/2006 23:00
34.45,-117.65,01/01/2006 00:00,12/31/2006 23:00
33.85,-118.05,01/01/2006 00:00,12/31/2006 23:00
36.65,-121.75,01/01/2006 00:00,12/31/2006 23:00
35.35,-118.85,01/01/2006 00:00,12/31/2006 23:00
35.35,-117.85,01/01/2006 00:00,12/31/2006 23:00
37.05,-121.85,01/01/2006 00:00,12/31/2006 23:00
34.25,-117.65,01/01/2006 00:00,12/31/2006 23:00
34.65,-118.15,01/01/2006 00:00,12/31/2006 23:00
34.35,-114.65,01/01/2006 00:00,12/31/2006 23:00
38.75,-121.55,01/01/2006 00:00,12/31/2006 23:00
34.55,-118.55,01/01/2006 00:00,12/31/2006 23:00
34.05,-117.65,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.25,01/01/2006 00:00,12/31/2006 23:00
37.65,-122.05,01/01/2006 00:00,12/31/2006 23:00
37.25,-121.85,01/01/2006 00:00,12/31/2006 23:00
37.65,-121.15,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.05,01/01/2006 00:00,12/31/2006 23:00
34.45,-117.85,01/01/2006 00:00,12/31/2006 23:00
32.85,-117.05,01/01/2006 00:00,12/31/2006 23:00
34.85,-118.35,01/01/2006 00:00,12/31/2006 23:00
34.55,-118.05,01/01/2006 00:00,12/31/2006 23:00
33.85,-117.55,01/01/2006 00:00,12/31/2006 23:00
34.65,-116.15,01/01/2006 00:00,12/31/2006 23:00
34.85,-119.85,01/01/2006 00:00,12/31/2006 23:00
35.05,-114.85,01/01/2006 00:00,12/31/2006 23:00
35.25,-120.65,01/01/2006 00:00,12/31/2006 23:00
37.55,-120.85,01/01/2006 00:00,12/31/2006 23:00
34.65,-117.15,01/01/2006 00:00,12/31/2006 23:00
34.65,-114.75,01/01/2006 00:00,12/31/2006 23:00
37.95,-121.65,01/01/2006 00:00,12/31/2006 23:00
32.75,-114.85,01/01/2006 00:00,12/31/2006 23:00
33.55,-116.15,01/01/2006 00:00,12/31/2006 23:00
33.85,-115.45,01/01/2006 00:00,12/31/2006 23:00
34.65,-119.45,01/01/2006 00:00,12/31/2006 23:00
37.85,-122.25,01/01/2006 00:00,12/31/2006 23:00
34.65,-117.65,01/01/2006 00:00,12/31/2006 23:00
35.75,-120.95,01/01/2006 00:00,12/31/2006 23:00
32.85,-115.35,01/01/2006 00:00,12/31/2006 23:00
34.15,-118.25,01/01/2006 00:00,12/31/2006 23:00
34.05,-118.15,01/01/2006 00:00,12/31/2006 23:00
38.55,-121.45,01/01/2006 00:00,12/31/2006 23:00
35.15,-117.85,01/01/2006 00:00,12/31/2006 23:00
34.15,-117.95,01/01/2006 00:00,12/31/2006 23:00
33.15,-116.95,01/01/2006 00:00,12/31/2006 23:00
39.05,-121.55,01/01/2006 00:00,12/31/2006 23:00
35.55,-120.75,01/01/2006 00:00,12/31/2006 23:00
33.75,-116.35,01/01/2006 00:00,12/31/2006 23:00
37.35,-120.75,01/01/2006 00:00,12/31/2006 23:00
40.55,-122.45,01/01/2006 00:00,12/31/2006 23:00
34.45,-119.65,01/01/2006 00:00,12/31/2006 23:00
34.85,-120.45,01/01/2006 00:00,12/31/2006 23:00
38.65,-121.55,01/01/2006 00:00,12/31/2006 23:00
37.15,-119.15,01/01/2006 00:00,12/31/2006 23:00
38.25,-120.35,01/01/2006 00:00,12/31/2006 23:00
32.95,-115.05,01/01/2006 00:00,12/31/2006 23:00
37.95,-121.95,01/01/2006 00:00,12/31/2006 23:00
34.55,-117.75,01/01/2006 00:00,12/31/2006 23:00
32.95,-115.45,01/01/2006 00:00,12/31/2006 23:00
34.95,-114.95,01/01/2006 00:00,12/31/2006 23:00
33.65,-117.95,01/01/2006 00:00,12/31/2006 23:00
